id,sourceid,name,party,area,seat,start
0252067342313,25617b2f-2cc7-477a-a872-d1c14e9ef187,Åsa Lindestam,S,Gävleborgs län,1,2018-09-24
0122987223112,4468626c-27a1-46c7-b530-f346b70b753b,Lotta Johnsson Fornarve,V,Södermanlands län,2,2018-09-24
0155487380917,4a514760-f0a7-47a7-8a51-91bd46693df7,Kerstin Lundgren,C,Stockholms län,3,2018-09-24
0722683622001,66c921d0-cc6d-4137-8e09-bd8c686faa11,Lars Jilmstad,M,Stockholms kommun,4,2020-01-01
0395762282903,57918418-7b85-433d-a5c1-f19dec68f655,Elsemarie Bjellqvist,S,Stockholms kommun,5,2022-02-01
0363228965800,e7e41401-b4df-11d5-8079-0040ca16072a,Barbro Westerholm,L,Stockholms län,6,2018-09-24
0607691439013,d7c32504-83e4-11d4-ae60-0050040c9b55,Karin Enström,M,Stockholms län,7,2018-09-24
0973782197017,d7c3256b-83e4-11d4-ae60-0050040c9b55,Mikael Oscarsson,KD,Uppsala län,8,2018-09-24
0612916684825,eaf0fa85-8858-4e0e-97d8-daee0a771d1f,Johan Löfstrand,S,Östergötlands län,9,2018-09-24
0547818628111,e32075e3-a115-4add-8652-4993f2f8d8ab,Betty Malmberg,M,Östergötlands län,10,2018-09-24
0677738818613,48144b97-5799-422d-9ede-8b2dd360ca19,Anders Åkesson,C,Kalmar län,11,2018-09-24
0529103571012,ecbe80be-fc66-48ce-81fd-14d6fa38aa4c,Jan R Andersson,M,Kalmar län,12,2020-06-22
0412148992926,ed3399e1-7bce-4ea4-baf6-587f722710f5,Hanna Westerén,S,Gotlands län,13,2018-09-24
0853831481615,e40dbf5a-203b-4744-84b0-a40ac2a763cb,Lars Thomsson,C,Gotlands län,14,2018-09-24
0645111757928,994eee01-a983-4409-9455-cd915c86d94d,Elin Gustafsson,S,Skåne läns södra,15,2018-09-24
0843345349823,fa84d5df-e8ef-43be-beff-a71453d18ebc,Anders Hansson,M,Skåne läns södra,16,2018-09-24
0540190357911,d7c323f9-83e4-11d4-ae60-0050040c9b55,Hans Hoff,S,Hallands län,17,2018-09-24
0339894357417,4c6f215d-de3a-452d-83b5-f472b8668b7e,Jennie Nilsson,S,Hallands län,18,2021-06-30
0909948830718,8583281e-3621-49fd-a131-661a0f432452,Ann-Christin Ahlberg,S,Västra Götalands läns södra,19,2018-09-24
0940980416614,5c11ef9b-d56d-4e85-8cc6-800f0257548a,Jan Ericson,M,Västra Götalands läns södra,20,2018-09-24
0427321850912,3badc18d-3c4a-4068-921a-b5fa8a9652d6,Lars Mejern Larsson,S,Värmlands län,21,2018-09-24
0801311569314,434f8fc8-eb9d-4364-99f6-63f1ef873561,Gunilla Svantorp,S,Värmlands län,22,2018-09-24
0460690753617,d6a34e6b-6f87-455c-ab36-fd75292f0ed0,Pia Nilsson,S,Västmanlands län,23,2018-09-24
0911067396229,b20fb0ab-e161-4d7a-acc9-57c3923d5456,Mattias Vepsä,S,Stockholms kommun,24,2022-02-01
0970259744617,d7c329da-83e4-11d4-ae60-0050040c9b55,Margareta Cederfelt,M,Stockholms kommun,25,2018-09-24
0497217816024,4da8bb6b-fc06-4f3a-ba25-f70dfe5eb5a7,Markus Selin,S,Stockholms län,26,2020-08-01
0999976269027,d12313ba-680b-4784-b858-5c9e6db692e7,Amanda Palmstierna,MP,Stockholms län,27,2019-10-01
0541320528015,241a3fd7-124c-4e9e-ac01-9083f36b3295,Nina Lundström,L,Stockholms län,28,2019-11-01
0576619284416,474786eb-b958-46d1-9966-cc545749d362,Aphram Melki,C,Stockholms län,29,2021-10-01
0986091320811,0f4ba90a-2db5-4fa8-b583-3f96edca5028,Catarina Deremar,C,Uppsala län,30,2021-01-01
025877594729,5d1ac61d-4464-41a4-bae0-42ea3782cba8,John Widegren,M,Östergötlands län,31,2018-09-24
0964730940415,fff74c6c-fae3-4977-a472-cfe2b6ae257a,Johan Andersson,S,Östergötlands län,32,2018-09-24
0358278412329,d2d94e0b-a745-4457-8c2f-9557caf78cdf,Björn Petersson,S,Kalmar län,33,2018-09-24
0130789484021,cb0336b4-54a8-4384-abe3-8d6cbebc63fa,Mattias Bäckström Johansson,SD,Kalmar län,34,2018-09-24
0619928872229,f65cb6f1-7001-4e8e-8d32-89d534577ab0,Laila Naraghi,S,Kalmar län,35,2020-02-15
